data,temperatura,umidade
16:54:37 24/05/2024, 21.00, 79.00
16:54:39 24/05/2024, 21.00, 79.00
16:54:41 24/05/2024, 21.00, 79.00
16:54:43 24/05/2024, 21.00, 79.00
16:54:45 24/05/2024, 21.00, 79.00
16:54:47 24/05/2024, 21.00, 79.00
16:54:49 24/05/2024, 21.00, 79.00
16:54:51 24/05/2024, 21.00, 79.00
16:54:54 24/05/2024, 21.00, 79.00
16:54:56 24/05/2024, 21.00, 79.00
16:54:58 24/05/2024, 21.00, 79.00
16:55:00 24/05/2024, 21.00, 79.00
16:55:02 24/05/2024, 21.00, 79.00
16:55:04 24/05/2024, 21.00, 79.00
16:55:06 24/05/2024, 21.00, 79.00
16:55:08 24/05/2024, 21.00, 79.00
16:55:10 24/05/2024, 21.00, 79.00
16:55:12 24/05/2024, 21.00, 79.00
16:55:14 24/05/2024, 21.00, 79.00
18:12:05 24/05/2024, 19.80, 81.00
18:12:15 24/05/2024, 19.80, 81.00
18:12:25 24/05/2024, 19.80, 81.00
18:12:35 24/05/2024, 19.80, 81.00
18:12:45 24/05/2024, 19.80, 81.00
18:12:55 24/05/2024, 19.80, 81.00
18:13:05 24/05/2024, 19.80, 81.00
18:13:18 24/05/2024, 19.80, 81.00
18:13:29 24/05/2024, 19.80, 81.00
18:13:39 24/05/2024, 19.80, 81.00
18:13:49 24/05/2024, 19.80, 81.00
