data,temperatura,umidade
16:54:37 24/05/2024, 21.00, 79.00
16:54:39 24/05/2024, 21.00, 79.00
16:54:41 24/05/2024, 21.00, 79.00
16:54:43 24/05/2024, 21.00, 79.00
16:54:45 24/05/2024, 21.00, 79.00
16:54:47 24/05/2024, 21.00, 79.00
16:54:49 24/05/2024, 21.00, 79.00
16:54:51 24/05/2024, 21.00, 79.00
16:54:54 24/05/2024, 21.00, 79.00
16:54:56 24/05/2024, 21.00, 79.00
16:54:58 24/05/2024, 21.00, 79.00
16:55:00 24/05/2024, 21.00, 79.00
16:55:02 24/05/2024, 21.00, 79.00
16:55:04 24/05/2024, 21.00, 79.00
16:55:06 24/05/2024, 21.00, 79.00
16:55:08 24/05/2024, 21.00, 79.00
16:55:10 24/05/2024, 21.00, 79.00
16:55:12 24/05/2024, 21.00, 79.00
16:55:14 24/05/2024, 21.00, 79.00
18:12:05 24/05/2024, 19.80, 81.00
18:12:15 24/05/2024, 19.80, 81.00
18:12:25 24/05/2024, 19.80, 81.00
18:12:35 24/05/2024, 19.80, 81.00
18:12:45 24/05/2024, 19.80, 81.00
18:12:55 24/05/2024, 19.80, 81.00
18:13:05 24/05/2024, 19.80, 81.00
18:13:18 24/05/2024, 19.80, 81.00
18:13:29 24/05/2024, 19.80, 81.00
18:13:39 24/05/2024, 19.80, 81.00
18:13:49 24/05/2024, 19.80, 81.00
21:18:32 24/05/2024, 19.80, 72.00
21:18:57 24/05/2024, 19.80, 72.00
21:19:25 24/05/2024, 19.80, 72.00
21:22:38 24/05/2024, 19.80, 71.00
21:22:52 24/05/2024, 19.80, 70.00
21:22:53 24/05/2024, 19.90, 70.00
21:23:08 24/05/2024, 19.80, 70.00
21:23:19 24/05/2024, 19.80, 70.00
21:23:19 24/05/2024, 19.80, 70.00
21:23:29 24/05/2024, 19.80, 70.00
21:23:34 24/05/2024, 19.80, 70.00
10:59:51 26/05/2024, 16.10, 73.00
10:59:56 26/05/2024, 16.10, 73.00
11:00:02 26/05/2024, 16.10, 73.00
11:00:07 26/05/2024, 16.10, 73.00
11:00:12 26/05/2024, 16.10, 74.00
11:00:17 26/05/2024, 16.10, 74.00
11:00:22 26/05/2024, 16.10, 74.00
11:00:28 26/05/2024, 16.10, 74.00
11:00:33 26/05/2024, 16.10, 74.00
11:00:38 26/05/2024, 16.10, 74.00
11:00:43 26/05/2024, 16.10, 74.00
11:00:48 26/05/2024, 16.10, 74.00
11:00:53 26/05/2024, 16.10, 74.00
11:00:58 26/05/2024, 16.10, 74.00
11:01:04 26/05/2024, 16.10, 74.00
11:01:09 26/05/2024, 16.10, 74.00
11:01:14 26/05/2024, 16.10, 74.00
11:01:19 26/05/2024, 16.10, 74.00
11:01:27 26/05/2024, 16.10, 74.00
11:01:32 26/05/2024, 16.10, 74.00
11:01:37 26/05/2024, 16.10, 74.00
11:01:42 26/05/2024, 16.10, 74.00
11:01:50 26/05/2024, 16.10, 74.00
11:01:55 26/05/2024, 16.10, 74.00
11:02:00 26/05/2024, 16.10, 74.00
11:02:26 26/05/2024, 16.10, 74.00
11:02:31 26/05/2024, 16.10, 74.00
11:02:36 26/05/2024, 16.10, 74.00
11:02:41 26/05/2024, 16.10, 74.00
11:02:46 26/05/2024, 16.10, 74.00
11:02:51 26/05/2024, 16.10, 74.00
11:02:56 26/05/2024, 16.10, 74.00
11:03:02 26/05/2024, 16.10, 74.00
11:03:07 26/05/2024, 16.10, 74.00
20:54:57 27/05/2024, 16.10, 82.00
20:55:02 27/05/2024, 16.10, 82.00
20:55:07 27/05/2024, 16.60, 82.00
20:55:12 27/05/2024, 16.60, 82.00
20:55:17 27/05/2024, 16.60, 83.00
20:55:22 27/05/2024, 16.60, 83.00
20:55:27 27/05/2024, 16.60, 83.00
20:55:33 27/05/2024, 16.60, 84.00
20:55:38 27/05/2024, 16.60, 84.00
20:55:43 27/05/2024, 16.60, 84.00
20:55:48 27/05/2024, 16.60, 84.00
20:55:53 27/05/2024, 17.00, 84.00
20:55:58 27/05/2024, 17.00, 85.00
20:56:03 27/05/2024, 17.00, 85.00
20:56:08 27/05/2024, 17.00, 85.00
20:56:14 27/05/2024, 17.00, 85.00
20:56:19 27/05/2024, 17.00, 85.00
20:56:27 27/05/2024, 17.00, 85.00
18:47:03 28/05/2024, 15.70, 71.00
18:47:08 28/05/2024, 15.90, 71.00
18:47:13 28/05/2024, 16.10, 70.00
18:47:18 28/05/2024, 16.10, 70.00
18:47:23 28/05/2024, 16.10, 70.00
18:47:28 28/05/2024, 16.10, 70.00
18:47:33 28/05/2024, 16.10, 70.00
18:47:38 28/05/2024, 16.10, 70.00
19:19:46 29/05/2024, 17.40, 77.00
19:19:51 29/05/2024, 17.40, 77.00
19:19:56 29/05/2024, 17.40, 78.00
19:20:02 29/05/2024, 17.60, 78.00
19:20:07 29/05/2024, 17.80, 78.00
19:20:12 29/05/2024, 17.80, 78.00
19:25:59 29/05/2024, 17.79999924, 75
19:26:13 29/05/2024, 17.79999924, 75
